  9809     AichiSR   BL5S1
 test.dat        13.02.22 12:24 - 13.02.22 12:41
                                                                                 
 Ring :   1.2 GeV     0.0 mA -    0.0 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle=  9.76967 deg
 BL5S1    Aux input    ( 2)   Repitition=  1     Points=  480
 Param file : DUMMYNAME.prm   energy axis (2)     Block = 4

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1       11249.00  11499.00         3.60       1.00        70
     2       11499.00  11649.00         1.00       1.00       150
     3       11649.00  12049.00         2.50       1.00       160
     4       12049.00  12749.00         7.00       1.00       100
 SCALE( 2)     NDCH = 2
  Angle(c)  Angle(o)    time/s         1         2
      Mode         0         0         1         2
    Offset         0         0     0.000     0.000
   9.95659   9.95640      1.00    161378    143742  11.43471   9.95640  11.43493   9.95586  11.43554
   9.95345   9.95350      1.00    160746    143494  11.43829   9.95350  11.43823   9.95289  11.43892
   9.95031   9.95020      1.00    160128    143352  11.44186   9.95020  11.44198   9.94969  11.44256
   9.94717   9.94730      1.00    161098    144588  11.44543   9.94730  11.44529   9.94667  11.44601
   9.94404   9.94400      1.00    161155    144975  11.44900   9.94400  11.44905   9.94339  11.44974
   9.94091   9.94090      1.00    161211    145411  11.45257   9.94090  11.45258   9.94028  11.45329
   9.93778   9.93780      1.00    161452    146006  11.45614   9.93780  11.45612   9.93714  11.45687
   9.93465   9.93450      1.00    162356    147168  11.45971   9.93450  11.45988   9.93397  11.46049
   9.93152   9.93160      1.00    162907    148021  11.46329   9.93160  11.46320   9.93097  11.46391
   9.92840   9.92840      1.00    162981    148466  11.46686   9.92840  11.46685   9.92775  11.46760
   9.92528   9.92520      1.00    162936    148789  11.47043   9.92520  11.47051   9.92461  11.47119
   9.92215   9.92220      1.00    162251    148539  11.47400   9.92220  11.47395   9.92156  11.47469
   9.91904   9.91890      1.00    161514    148234  11.47757   9.91890  11.47773   9.91839  11.47831
   9.91592   9.91600      1.00    161051    148158  11.48114   9.91600  11.48105   9.91539  11.48175
   9.91280   9.91280      1.00    161243    148685  11.48471   9.91280  11.48472   9.91217  11.48545
   9.90969   9.90970      1.00    160829    148723  11.48829   9.90970  11.48828   9.90906  11.48902
   9.90658   9.90660      1.00    162215    150311  11.49186   9.90660  11.49184   9.90592  11.49262
   9.90347   9.90320      1.00    161817    150296  11.49543   9.90320  11.49574   9.90278  11.49623
   9.90037   9.90040      1.00    161089    149965  11.49900   9.90040  11.49896   9.89992  11.49952
   9.89950   9.89950      1.00    161516    150482  11.50000   9.89950  11.49999   9.89900  11.50057
   9.89863   9.89860      1.00    161632    150703  11.50100   9.89860  11.50103   9.89811  11.50159
   9.89776   9.89770      1.00    161578    150767  11.50200   9.89770  11.50207   9.89725  11.50258
   9.89689   9.89690      1.00    161571    150843  11.50300   9.89690  11.50299   9.89642  11.50354
   9.89602   9.89600      1.00    161568    150929  11.50400   9.89600  11.50402   9.89553  11.50457
   9.89515   9.89510      1.00    161582    151037  11.50500   9.89510  11.50506   9.89467  11.50556
   9.89428   9.89430      1.00    161687    151212  11.50600   9.89430  11.50598   9.89383  11.50652
   9.89341   9.89340      1.00    161695    151327  11.50700   9.89340  11.50701   9.89294  11.50754
   9.89254   9.89250      1.00    161804    151515  11.50800   9.89250  11.50805   9.89208  11.50853
   9.89168   9.89170      1.00    161857    151648  11.50900   9.89170  11.50897   9.89125  11.50949
   9.89081   9.89080      1.00    161933    151816  11.51000   9.89080  11.51001   9.89033  11.51055
   9.88994   9.88990      1.00    162039    152030  11.51100   9.88990  11.51105   9.88947  11.51154
   9.88907   9.88910      1.00    162157    152218  11.51200   9.88910  11.51197   9.88864  11.51250
   9.88821   9.88820      1.00    162301    152433  11.51300   9.88820  11.51301   9.88772  11.51356
   9.88734   9.88730      1.00    162363    152590  11.51400   9.88730  11.51404   9.88683  11.51458
   9.88647   9.88650      1.00    162380    152712  11.51500   9.88650  11.51497   9.88600  11.51554
   9.88560   9.88560      1.00    162538    152977  11.51600   9.88560  11.51600   9.88508  11.51660
   9.88474   9.88470      1.00    162560    153024  11.51700   9.88470  11.51704   9.88419  11.51763
   9.88387   9.88380      1.00    162655    153220  11.51800   9.88380  11.51808   9.88336  11.51859
   9.88300   9.88310      1.00    162718    153343  11.51900   9.88310  11.51889   9.88256  11.51952
   9.88214   9.88210      1.00    162784    153525  11.52000   9.88210  11.52004   9.88158  11.52064
   9.88127   9.88130      1.00    162854    153685  11.52100   9.88130  11.52097   9.88075  11.52160
   9.88040   9.88030      1.00    162908    153828  11.52200   9.88030  11.52212   9.87983  11.52266
   9.87954   9.87950      1.00    163066    154032  11.52300   9.87950  11.52304   9.87906  11.52356
   9.87867   9.87870      1.00    163106    154160  11.52400   9.87870  11.52397   9.87822  11.52452
   9.87781   9.87780      1.00    163075    154203  11.52500   9.87780  11.52501   9.87731  11.52558
   9.87694   9.87690      1.00    163096    154308  11.52600   9.87690  11.52605   9.87644  11.52657
   9.87607   9.87610      1.00    163324    154595  11.52700   9.87610  11.52697   9.87561  11.52754
   9.87521   9.87520      1.00    163677    154959  11.52800   9.87520  11.52801   9.87469  11.52860
   9.87434   9.87430      1.00    163816    155156  11.52900   9.87430  11.52905   9.87383  11.52959
   9.87348   9.87340      1.00    164047    155445  11.53000   9.87340  11.53009   9.87300  11.53055
   9.87261   9.87260      1.00    164200    155626  11.53100   9.87260  11.53102   9.87219  11.53149
   9.87175   9.87180      1.00    164384    155852  11.53200   9.87180  11.53194   9.87133  11.53248
   9.87089   9.87090      1.00    164389    155925  11.53300   9.87090  11.53298   9.87042  11.53354
   9.87002   9.87000      1.00    164415    155951  11.53400   9.87000  11.53402   9.86953  11.53457
   9.86916   9.86910      1.00    164514    156100  11.53500   9.86910  11.53507   9.86867  11.53557
   9.86829   9.86830      1.00    164663    156235  11.53600   9.86830  11.53599   9.86783  11.53653
   9.86743   9.86740      1.00    164648    156237  11.53700   9.86740  11.53703   9.86694  11.53756
   9.86657   9.86650      1.00    164709    156281  11.53800   9.86650  11.53808   9.86608  11.53856
