



















"NewPoint 1 8.25143 -0.233932" 
"NewPoint 0 8.25786 101413" 
"NewPoint 1 8.25786 -0.235419" 
"NewPoint 0 8.26429 101990" 
"NewPoint 1 8.26429 -0.236495" 
"NewPoint 0 8.27071 102178" 
"NewPoint 1 8.27071 -0.237906" 
"NewPoint 0 8.27714 102015" 
"NewPoint 1 8.27714 -0.239626" 
"NewPoint 0 8.28357 101838" 
"NewPoint 1 8.28357 -0.241255" 
"NewPoint 0 8.29 101726" 
"NewPoint 1 8.29 -0.242918" 
"NewPoint 0 8.29643 101127" 
"NewPoint 1 8.29643 -0.244915" 
"NewPoint 0 8.30286 101793" 
"NewPoint 1 8.30286 -0.245931" 
"NewPoint 0 8.30929 101557" 
"NewPoint 1 8.30929 -0.247645" 
"NewPoint 0 8.31571 101405" 
"NewPoint 1 8.31571 -0.249335" 
"NewPoint 0 8.32214 101324" 
"NewPoint 1 8.32214 -0.250979" 
"NewPoint 0 8.32857 101170" 
"NewPoint 1 8.32857 -0.252584" 
"NewPoint 0 8.335 100812" 
"NewPoint 1 8.335 -0.254439" 
"NewPoint 0 8.34143 100748" 
"NewPoint 1 8.34143 -0.256035" 
"NewPoint 0 8.34786 100474" 
"NewPoint 1 8.34786 -0.257797" 
"NewPoint 0 8.35429 100234" 
"NewPoint 1 8.35429 -0.259481" 
"NewPoint 0 8.36071 100115" 
"NewPoint 1 8.36071 -0.261107" 
"NewPoint 0 8.36714 99751" 
"NewPoint 1 8.36714 -0.262932" 
"NewPoint 0 8.37357 99238" 
"NewPoint 1 8.37357 -0.264924" 
"NewPoint 0 8.38 99251" 
"NewPoint 1 8.38 -0.266299" 
"NewPoint 0 8.38643 98864" 
"NewPoint 1 8.38643 -0.268112" 
"NewPoint 0 8.39286 98620" 
"NewPoint 1 8.39286 -0.269809" 
"NewPoint 0 8.39929 98382" 
"NewPoint 1 8.39929 -0.271544" 
"NewPoint 0 8.40571 98074" 
"NewPoint 1 8.40571 -0.273222" 
"NewPoint 0 8.41214 97840" 
"NewPoint 1 8.41214 -0.274966" 
"NewPoint 0 8.41857 97733" 
"NewPoint 1 8.41857 -0.276472" 
"NewPoint 0 8.425 97553" 
"NewPoint 1 8.425 -0.27802" 
"NewPoint 0 8.43143 97748" 
"NewPoint 1 8.43143 -0.279325" 
"NewPoint 0 8.43786 95546" 
"NewPoint 1 8.43786 -0.282443" 
"NewPoint 0 8.44429 97889" 
"NewPoint 1 8.44429 -0.281868" 
"NewPoint 0 8.45071 97498" 
"NewPoint 1 8.45071 -0.283594" 
"NewPoint 0 8.45714 97707" 
"NewPoint 1 8.45714 -0.284738" 
"NewPoint 0 8.46357 98017" 
"NewPoint 1 8.46357 -0.285803" 
"NewPoint 0 8.47 97799" 
"NewPoint 1 8.47 -0.287186" 
"NewPoint 0 8.471 97526" 
"NewPoint 1 8.471 -0.288569" 
"NewPoint 0 8.472 97487" 
"NewPoint 1 8.472 -0.288784" 
"NewPoint 0 8.473 97495" 
"NewPoint 1 8.473 -0.288917" 
"NewPoint 0 8.474 97452" 
"NewPoint 1 8.474 -0.28912" 
"NewPoint 0 8.475 97440" 
"NewPoint 1 8.475 -0.289313" 
