# 2013-06-26   by Asakura
# Al foil 128
#   E/keV       0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
	5	500	490	507	501	502	507	498	503	503	501	502	503	502	500	500	502	507	500	502
	7	704	698	708	694	701	706	694	701	701	699	699	700	703	700	705	701	709	705	701
	9	904	882	911	900	901	907	891	901	901	899	899	898	903	900	904	900	911	899	901
	11	1094	1076	1110	1100	1091	1108	1082	1092	1092	1089	1093	1096	1096	1095	1106	1094	1103	1089	1095
	13	1307	1277	1316	1300	1302	1307	1289	1300	1302	1298	1299	1300	1305	1300	1306	1301	1316	1299	1302
	15	1509	1468	1518	1493	1502	1507	1486	1499	1503	1497	1497	1499	1505	1500	1505	1499	1520	1494	1500
	17	1709	1669	1718	1694	1699	1707	1682	1699	1703	1695	1695	1699	1706	1698	1704	1698	1722	1696	1698
	19	1905	1861	1922	1886	1905	1910	1876	1896	1897	1896	1898	1892	1902	1903	1908	1894	1918	1894	1902
