# 2013 5 14   by Morimoto
# Al foil 128
#   E/keV       0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
	5	500	490	504	497	500	503	496	499	499	499	498	499	499	499	502	499	504	497	500
	7	702	689	707	695	700	704	693	700	700	699	698	698	702	699	705	699	708	704	699
	9	902	882	910	893	899	902	890	899	899	897	898	897	901	899	902	898	909	895	900
	11	1103	1076	1107	1091	1100	1102	1086	1102	1100	1096	1095	1095	1104	1100	1102	1097	1111	1097	1095
	13	1305	1277	1315	1294	1299	1306	1287	1301	1297	1295	1296	1299	1304	1298	1305	1299	1314	1297	1299
	15	1496	1468	1518	1491	1492	1507	1486	1493	1495	1492	1500	1500	1499	1499	1506	1499	1510	1495	1500
	17	1705	1669	1722	1690	1695	1708	1687	1694	1697	1694	1699	1701	1704	1702	1705	1702	1717	1694	1701
	19	1904	1861	1923	1888	1900	1827	1885	1900	1900	1900	1900	1902	1906	1903	1907	1900	1921	1894	1900
